date,symbol,open,high,low,close,volume,asset_type,fetched_at
2001-09-19,LUV,11.451525172765201,11.739934084328478,10.772916111845406,10.883190155029297,11574600,equity,2026-04-10T11:50:34.734119
2001-09-20,LUV,11.112221046787727,11.197046673799672,10.645677266845064,10.883190155029297,10990600,equity,2026-04-10T11:50:34.734220
2001-09-21,LUV,10.620227531079449,11.807792542947805,10.433609894712244,11.536349296569824,10505800,equity,2026-04-10T11:50:34.734312
2001-09-24,LUV,12.359157218770337,12.715426750928005,11.621170561862131,11.663583755493164,10786000,equity,2026-04-10T11:50:34.734399
2001-09-25,LUV,11.892617602232429,12.214956015970774,11.867169194070511,11.92654800415039,5563800,equity,2026-04-10T11:50:34.734486
2001-09-26,LUV,12.062271915194046,12.104685127931734,11.790827839051685,11.960480690002441,5059000,equity,2026-04-10T11:50:34.734575
2001-09-27,LUV,12.045303227302538,12.053786029474518,11.63813843062201,11.867168426513672,4150700,equity,2026-04-10T11:50:34.734792
2001-09-28,LUV,11.960480921454867,12.71543272514319,11.951998116950225,12.588193893432617,5041800,equity,2026-04-10T11:50:34.734997
2001-10-01,LUV,12.639092075532183,12.774814552637167,12.316753518182086,12.41854476928711,3600400,equity,2026-04-10T11:50:34.735129
2001-10-02,LUV,12.681501058561611,13.232871162216705,12.656053456535894,12.995357513427734,5492500,equity,2026-04-10T11:50:34.735231
2001-10-03,LUV,12.995355391893272,13.563690201128091,12.995355391893272,13.394038200378418,5909700,equity,2026-04-10T11:50:34.735325
2001-10-04,LUV,13.99631250965369,14.0387249306927,13.360116486487613,13.4025297164917,6691200,equity,2026-04-10T11:50:34.735417
2001-10-05,LUV,13.436454146436372,13.614588176873832,12.808741211005739,13.13107967376709,3846900,equity,2026-04-10T11:50:34.735511
2001-10-08,LUV,13.10563448717038,13.14804770607974,12.732399940490723,12.732399940490723,2275300,equity,2026-04-10T11:50:34.735637
2001-10-09,LUV,12.978396618968562,13.029291838329284,12.723918095270172,12.825709342956543,2656700,equity,2026-04-10T11:50:34.735734
2001-10-10,LUV,12.90204685442682,13.597621263437631,12.791772852888954,13.555207252502441,3147500,equity,2026-04-10T11:50:34.735824
2001-10-11,LUV,13.903002152431945,14.081137866283662,13.48735431068464,13.657007217407227,4415800,equity,2026-04-10T11:50:34.735999
2001-10-12,LUV,13.614589790818677,13.614589790818677,12.817224725472784,13.088668823242188,3767500,equity,2026-04-10T11:50:34.736119
